LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
LVA,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.67334,
LVA,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.711554,
CRI,EDUPUBEXP,TRY,PC_GDP,A,2018,1.55153,
CRI,EDUPUBEXP,TRY,PC_GDP,A,2019,1.494835,
CRI,EDUPUBEXP,TRY,PC_GDP,A,2020,1.427763,
CRI,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.888097,
CRI,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,4.748634,
CRI,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2020,4.43452,
LTU,EDUPUBEXP,TRY,PC_GDP,A,2018,0.7128252,
LTU,EDUPUBEXP,TRY,PC_GDP,A,2019,0.724478,
LTU,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,2.205898,
LTU,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,2.258246,
OAVG,EDUPUBEXP,TRY,PC_GDP,A,2018,0.9484281,
OAVG,EDUPUBEXP,TRY,PC_GDP,A,2019,0.934919445,
OAVG,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2018,3.088541,
OAVG,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.13830673,
G20,EDUPUBEXP,TRY,PC_GDP,A,2019,0.872571227,
G20,EDUPUBEXP,PRY_NTRY,PC_GDP,A,2019,3.175094648,
